Po,N,VV,U
755.9,50%.,10,58
757.2,60%.,10,67
757,40%.,10,82
756.1,40%.,8,85
756.8,"10%  or less, but not 0",8,82
757.4,20–30%.,8,85
756.1,50%.,8,78
754.5,60%.,10,63
754.9,60%.,12,60
756.6,60%.,12,67
756.3,60%.,10,79
755.2,50%.,8,89
756.7,50%.,8,88
757,50%.,8,83
755.4,60%.,8,85
754.3,70 – 80%.,10,73
754.9,60%.,10,74
756.6,60%.,10,74
756.4,50%.,10,93
755.3,50%.,8,93
756.3,50%.,8,92
756.8,70 – 80%.,8,94
755.8,100%.,8,93
755.3,100%.,8,94
756,100%.,8,94
757.3,100%.,7,89
756.4,100%.,8,94
755.3,60%.,8,90
756,100%.,8,87
756.6,70 – 80%.,8,87
755.8,70 – 80%.,8,87
754.6,"90  or more, but not 100%",10,83
755.5,"90  or more, but not 100%",10,78
757.3,"90  or more, but not 100%",10,83
756.4,100%.,10,94
755.1,70 – 80%.,7,95
755.6,"90  or more, but not 100%",7,94
757.1,100%.,6,94
755.9,70 – 80%.,8,85
754,70 – 80%.,10,82
754.9,70 – 80%.,10,71
756.9,"90  or more, but not 100%",8,84
755.9,20–30%.,8,91
755.2,60%.,8,95
755.9,"90  or more, but not 100%",8,89
757.1,"90  or more, but not 100%",8,84
755.7,"90  or more, but not 100%",8,79
754.1,"90  or more, but not 100%",10,66
755.2,70 – 80%.,10,68
757.6,60%.,9,78
756.7,70 – 80%.,8,93
755.6,70 – 80%.,7,94
756.7,"90  or more, but not 100%",7,92
757.7,100%.,6,93
756.7,100%.,8,84
755.5,100%.,9,79
755.6,100%.,10,81
756.7,"90  or more, but not 100%",10,77
756.5,"90  or more, but not 100%",10,94
755.4,100%.,5,95
756.2,70 – 80%.,7,93
756.7,20–30%.,7,81
755.5,40%.,7,72
753.6,40%.,11,59
754.5,50%.,11,60
756.2,50%.,12,61
756.2,40%.,10,87
754.9,"90  or more, but not 100%",8,89
755.5,70 – 80%.,8,88
756.8,60%.,8,86
755.8,70 – 80%.,8,78
754.1,"90  or more, but not 100%",9,75
754.3,70 – 80%.,10,57
756.7,50%.,10,65
756.7,70 – 80%.,10,94
755.5,60%.,8,92
756.2,"90  or more, but not 100%",8,91
757.7,"90  or more, but not 100%",8,89
756.5,70 – 80%.,8,76
754.9,70 – 80%.,10,67
754.9,70 – 80%.,10,52
757.3,70 – 80%.,11,68
757.3,60%.,10,85
756,no clouds,7,88
756.4,no clouds,8,88
757.5,70 – 80%.,7,86
756.7,70 – 80%.,8,75
755.4,100%.,10,73
755.8,70 – 80%.,9,66
757.3,70 – 80%.,9,69
757,"10%  or less, but not 0",9,
756.1,70 – 80%.,7,86
756.2,60%.,7,84
756.7,40%.,8,76
756.4,50%.,9,69
755.4,60%.,11,60
756.1,"10%  or less, but not 0",12,52
757.9,40%.,12,70
758.2,50%.,7,89
757.3,60%.,8,88
757.6,60%.,8,88
758.5,60%.,8,85
757.9,50%.,8,80
756.6,70 – 80%.,10,71
757.3,70 – 80%.,10,63
759,70 – 80%.,10,67
758.4,70 – 80%.,9,91
757.3,70 – 80%.,8,89
758.2,70 – 80%.,8,81
759.4,20–30%.,8,81
757.7,20–30%.,8,77
756,50%.,10,69
756.6,60%.,10,57
757.9,60%.,10,63
758,60%.,10,87
756.8,20–30%.,8,88
757.3,50%.,8,87
758.1,"10%  or less, but not 0",8,85
756.8,20–30%.,8,81
754.9,"90  or more, but not 100%",10,68
755.5,50%.,12,63
757.3,50%.,10,66
756.8,60%.,9,88
756.1,60%.,8,87
756.8,70 – 80%.,8,88
757.6,70 – 80%.,8,85
756.8,70 – 80%.,8,79
754.8,70 – 80%.,10,72
754.8,50%.,10,58
757.3,70 – 80%.,10,78
757.3,20–30%.,10,94
756.7,60%.,8,94
757.5,100%.,8,93
758.2,100%.,8,91
757.1,100%.,9,83
755.5,100%.,9,71
756,"90  or more, but not 100%",10,68
757.8,"90  or more, but not 100%",10,83
757.4,100%.,8,93
756.7,100%.,8,93
756.9,100%.,7,89
757.6,70 – 80%.,8,87
756.9,100%.,7,77
755.5,100%.,10,77
756.1,100%.,9,73
757.9,"90  or more, but not 100%",10,71
757,60%.,10,89
756.1,60%.,7,93
756.5,60%.,7,90
756.8,70 – 80%.,7,85
756.1,100%.,8,82
755.2,"90  or more, but not 100%",8,79
755.5,100%.,10,73
757.3,"90  or more, but not 100%",10,76
757,100%.,6,95
755.9,100%.,6,95
756.2,"90  or more, but not 100%",7,89
756.5,60%.,7,88
755.8,60%.,7,81
754,100%.,8,77
754.9,100%.,8,78
756.7,100%.,8,88
757,100%.,8,95
755.9,100%.,8,94
756,100%.,6,97
756.6,100%.,6,87
755.1,"90  or more, but not 100%",8,78
753.2,100%.,9,77
753.9,"90  or more, but not 100%",9,73
755.9,70 – 80%.,10,72
755.5,70 – 80%.,10,84
754.9,40%.,8,88
755,"90  or more, but not 100%",8,87
756.1,70 – 80%.,8,86
755,40%.,8,79
753.8,70 – 80%.,10,73
754.7,"90  or more, but not 100%",12,59
756.9,70 – 80%.,10,72
756.6,70 – 80%.,9,94
755.4,"90  or more, but not 100%",8,97
756.4,"90  or more, but not 100%",7,94
757.9,100%.,6,95
756.1,100%.,5,95
753.8,70 – 80%.,10,63
754.7,60%.,9,66
756.9,70 – 80%.,9,78
757,100%.,8,93
755.4,100%.,8,95
756.1,100%.,7,95
756.7,100%.,7,90
755.4,70 – 80%.,7,78
753.5,70 – 80%.,10,61
754.5,70 – 80%.,10,59
756.5,60%.,10,67
756.7,50%.,9,87
755.5,40%.,8,90
756.1,40%.,7,88
756.9,60%.,7,81
755.8,40%.,8,79
754.3,40%.,12,72
755.2,50%.,12,52
757.7,60%.,10,76
757.6,70 – 80%.,10,94
756.2,60%.,7,95
756.7,"90  or more, but not 100%",6,84
757.9,70 – 80%.,7,82
756.5,70 – 80%.,8,83
754.9,70 – 80%.,10,73
755.5,50%.,11,52
757.6,70 – 80%.,9,68
758.1,50%.,6,93
756.6,70 – 80%.,8,94
757.3,70 – 80%.,8,93
758.8,"90  or more, but not 100%",8,85
757.5,60%.,8,83
755.9,"90  or more, but not 100%",10,76
756.1,"90  or more, but not 100%",10,58
758.3,"10%  or less, but not 0",0.4,
758.2,"90  or more, but not 100%",10,87
756.3,50%.,8,87
757.8,70 – 80%.,6,85
758.6,40%.,8,82
757.6,70 – 80%.,8,77
756.3,70 – 80%.,10,58
757.1,70 – 80%.,12,60
759.3,60%.,11,73
759.1,50%.,10,85
758.3,50%.,8,84
758.8,60%.,8,79
759.4,40%.,8,73
758,40%.,8,77
756.7,20–30%.,12,48
757.6,"10%  or less, but not 0",12,55
759.4,40%.,10,62
759.1,40%.,10,83
758.3,20–30%.,8,88
758.9,60%.,7,91
759.3,40%.,8,80
758.1,60%.,8,79
756.9,60%.,10,69
757.6,20–30%.,10,52
759.4,70 – 80%.,10,64
759.4,60%.,10,88
758.5,20–30%.,8,86
758.8,50%.,8,85
759.5,100%.,8,82
758.5,100%.,9,78
757.2,100%.,10,74
757.7,"90  or more, but not 100%",10,59
759.4,60%.,10,66
759.1,50%.,10,87
757.7,50%.,8,81
758.6,50%.,8,78
759.9,50%.,8,71
758.6,50%.,8,70
757.1,60%.,11,46
758.2,50%.,11,42
759.9,50%.,10,65
759.4,50%.,9,84
758.8,50%.,8,85
759.3,40%.,8,74
759.4,20–30%.,10,76
758.5,50%.,8,72
757.2,60%.,12,65
757.6,60%.,10,51
759.3,60%.,10,61
759.4,70 – 80%.,9,87
758.4,50%.,8,88
758.3,40%.,8,87
758.9,50%.,8,82
757.6,50%.,8,81
756.1,"90  or more, but not 100%",10,69
756.7,"90  or more, but not 100%",10,54
758.9,"90  or more, but not 100%",9,74
758.3,60%.,8,88
757.3,20–30%.,8,91
758,20–30%.,8,89
759.1,70 – 80%.,8,81
757.5,20–30%.,10,79
755.7,60%.,10,66
756.3,40%.,12,50
758.5,50%.,9,69
758.1,40%.,9,85
756.7,70 – 80%.,7,88
757.3,70 – 80%.,7,86
758.2,60%.,8,83
756.7,40%.,9,77
755.3,50%.,10,54
756.1,40%.,10,52
757.9,"90  or more, but not 100%",10,71
757.6,60%.,9,84
756.4,60%.,8,84
756.9,60%.,8,79
757.5,60%.,8,79
756.3,50%.,8,74
754.8,70 – 80%.,11,68
755.4,70 – 80%.,12,61
757.6,50%.,11,64
757.5,"10%  or less, but not 0",9,82
756.5,50%.,9,88
757.1,50%.,8,81
757.7,40%.,8,75
757,60%.,8,75
755,"90  or more, but not 100%",10,70
756.2,60%.,10,66
757.9,60%.,10,69
757.8,40%.,10,87
756.5,50%.,8,89
757,60%.,8,85
757.8,60%.,9,84
756.7,40%.,9,78
755.6,50%.,11,70
756.3,60%.,11,62
757.9,20–30%.,10,60
757.7,"10%  or less, but not 0",10,88
756.5,60%.,8,89
756.7,70 – 80%.,8,87
757.9,50%.,8,84
756.3,40%.,8,79
755.2,40%.,11,69
755.7,50%.,11,60
757.7,40%.,11,64
757.6,20–30%.,10,88
756.6,"10%  or less, but not 0",8,94
756.9,no clouds,8,93
757.5,20–30%.,8,85
756.4,60%.,8,81
754.6,60%.,12,63
755.9,"90  or more, but not 100%",10,71
757.6,"90  or more, but not 100%",10,75
757.3,"90  or more, but not 100%",9,91
756.1,100%.,8,89
756.2,70 – 80%.,8,85
757,40%.,8,83
755.9,50%.,8,81
754.3,"90  or more, but not 100%",10,73
755.2,"90  or more, but not 100%",10,72
757.9,70 – 80%.,10,81
757.3,"90  or more, but not 100%",7,92
757,70 – 80%.,9,89
757.1,70 – 80%.,9,86
757.9,60%.,9,85
756.9,20–30%.,9,78
755.9,50%.,11,77
756.6,70 – 80%.,10,69
758.5,"90  or more, but not 100%",9,79
758.1,70 – 80%.,8,88
757.3,70 – 80%.,7,91
757.6,"90  or more, but not 100%",7,87
758.5,"90  or more, but not 100%",7,87
757,"90  or more, but not 100%",8,83
755.4,"90  or more, but not 100%",10,72
756,70 – 80%.,10,76
758.1,"90  or more, but not 100%",9,81
757.9,70 – 80%.,9,92
756.8,100%.,8,92
757.6,100%.,8,86
757,"90  or more, but not 100%",8,84
755.8,100%.,8,88
756.3,100%.,9,87
757.6,100%.,9,81
757.6,100%.,8,94
756.3,100%.,8,92
757,"90  or more, but not 100%",8,91
757.6,100%.,8,92
757.1,100%.,9,91
755.8,100%.,9,88
756.4,100%.,8,81
758,"90  or more, but not 100%",8,87
757.9,100%.,6,92
756.2,60%.,8,94
756.9,60%.,8,94
757.9,70 – 80%.,8,93
757,70 – 80%.,8,91
755.8,100%.,9,87
756.7,100%.,8,87
758.2,100%.,7,95
758.2,100%.,7,95
756.3,"90  or more, but not 100%",8,91
756.7,70 – 80%.,8,88
757.9,"90  or more, but not 100%",8,83
757.1,"90  or more, but not 100%",8,83
755.6,100%.,10,74
756.5,100%.,10,73
758.5,100%.,9,75
758.1,100%.,9,89
757.1,70 – 80%.,8,90
757.6,100%.,8,89
758.6,"90  or more, but not 100%",8,85
757.5,"90  or more, but not 100%",8,76
755.8,"90  or more, but not 100%",10,72
756.4,100%.,10,72
758,100%.,10,75
757.2,100%.,9,89
756.3,"90  or more, but not 100%",6,94
756.1,100%.,6,92
758,100%.,5,92
757.3,100%.,5,92
755.2,100%.,5,94
755.9,100%.,3,93
756.9,"90  or more, but not 100%",10,72
756.3,"90  or more, but not 100%",8,90
754.9,70 – 80%.,8,94
755.1,"90  or more, but not 100%",8,95
756.6,100%.,8,95
754.7,100%.,9,81
753.3,100%.,10,73
754,70 – 80%.,11,69
756.2,60%.,10,74
755.4,40%.,9,85
754.6,20–30%.,8,94
755.3,20–30%.,8,89
755.2,60%.,8,79
753.4,100%.,9,78
754.3,"90  or more, but not 100%",9,71
756.4,"90  or more, but not 100%",9,83
756.4,100%.,8,91
755.1,"90  or more, but not 100%",8,91
755.6,"90  or more, but not 100%",8,88
756.4,40%.,8,84
755.5,50%.,8,77
753.8,70 – 80%.,10,70
754.5,50%.,12,59
756.5,50%.,11,61
756.4,50%.,9,88
755.3,60%.,8,89
756.3,70 – 80%.,8,88
757.2,70 – 80%.,8,89
755.9,60%.,8,83
754.3,"90  or more, but not 100%",10,80
754.9,100%.,8,79
756.9,60%.,10,76
756.9,50%.,10,88
756.4,"90  or more, but not 100%",8,95
756.5,70 – 80%.,8,91
757.9,50%.,9,94
756.4,70 – 80%.,9,95
754.9,"90  or more, but not 100%",10,73
755.8,100%.,10,74
757.9,50%.,10,71
757.6,50%.,9,88
756.5,60%.,7,87
757.2,70 – 80%.,7,87
757.9,"90  or more, but not 100%",7,87
756.5,"90  or more, but not 100%",7,79
755.2,"90  or more, but not 100%",10,67
755.8,70 – 80%.,10,66
757.9,60%.,10,72
757.9,60%.,10,88
756.1,"10%  or less, but not 0",8,90
756.9,"10%  or less, but not 0",8,89
757.9,"10%  or less, but not 0",8,83
756.1,70 – 80%.,8,81
754.8,70 – 80%.,10,66
756.1,"90  or more, but not 100%",9,78
757.7,"90  or more, but not 100%",9,81
757.3,60%.,10,90
755.9,50%.,8,94
756.4,60%.,8,89
757.3,"90  or more, but not 100%",9,92
756.4,100%.,9,92
754.7,100%.,11,74
755.5,60%.,12,61
757.4,50%.,12,69
756.6,60%.,10,89
756.3,50%.,7,91
756.6,50%.,7,88
757.6,40%.,8,85
756.1,50%.,9,79
754.6,60%.,10,77
755.8,"90  or more, but not 100%",10,80
757.3,70 – 80%.,10,72
756.8,60%.,9,93
755.9,100%.,8,97
756.4,100%.,6,95
757,"90  or more, but not 100%",8,89
756,70 – 80%.,8,76
754.7,100%.,9,77
755.7,"90  or more, but not 100%",7,74
756.6,70 – 80%.,10,70
756.3,70 – 80%.,9,81
755.4,"90  or more, but not 100%",8,87
756.1,"90  or more, but not 100%",8,84
756.9,50%.,8,81
755.9,70 – 80%.,8,82
754.6,100%.,10,78
755,70 – 80%.,12,58
757,"90  or more, but not 100%",11,71
756.9,60%.,9,93
756.4,60%.,8,91
757,70 – 80%.,8,90
758.2,100%.,7,91
757.4,100%.,8,86
756.1,100%.,8,77
756.5,50%.,12,62
758.3,20–30%.,11,65
758.1,20–30%.,9,85
757.3,70 – 80%.,8,93
757.6,100%.,8,86
758.9,100%.,8,84
757.9,"90  or more, but not 100%",9,80
756.1,"90  or more, but not 100%",10,73
756.7,"90  or more, but not 100%",10,71
758,70 – 80%.,10,70
757.7,60%.,10,87
756.1,"90  or more, but not 100%",7,84
757.6,"90  or more, but not 100%",7,82
758.3,"90  or more, but not 100%",7,79
757.1,"90  or more, but not 100%",7,80
755.8,"90  or more, but not 100%",8,81
756.5,100%.,8,70
758.2,"90  or more, but not 100%",8,72
757.8,100%.,8,93
757.3,50%.,8,93
757.3,70 – 80%.,8,88
758.6,20–30%.,8,86
757.6,100%.,8,82
756,"90  or more, but not 100%",10,78
757.2,100%.,9,81
758.5,"90  or more, but not 100%",10,72
758.2,100%.,10,89
757.2,70 – 80%.,8,84
756.7,40%.,8,81
757.9,60%.,8,83
756.6,100%.,6,87
755.1,60%.,10,64
756.4,40%.,12,58
758,40%.,12,75
758.4,70 – 80%.,10,89
757,60%.,8,92
757.6,"90  or more, but not 100%",8,89
758.5,60%.,8,91
757,100%.,9,88
755.1,100%.,7,79
755.5,"90  or more, but not 100%",12,60
757.6,60%.,11,69
757.4,40%.,9,85
756.8,60%.,8,87
757.4,70 – 80%.,8,81
757.8,70 – 80%.,8,79
756.7,60%.,9,73
755.5,60%.,11,63
756.6,50%.,12,63
758.7,40%.,11,71
758.1,40%.,9,85
756.9,60%.,8,88
757.7,40%.,8,87
758.4,40%.,8,79
757.9,50%.,8,78
756.3,70 – 80%.,10,73
757.4,70 – 80%.,9,71
759,60%.,10,68
758.9,40%.,9,89
757.5,40%.,8,94
757.6,40%.,8,91
759,50%.,8,89
758.2,70 – 80%.,8,85
756.5,"90  or more, but not 100%",10,71
757,100%.,10,64
758.6,50%.,10,77
758.8,70 – 80%.,10,91
757.6,"90  or more, but not 100%",7,94
757.9,"90  or more, but not 100%",7,89
758.9,"90  or more, but not 100%",7,82
757.7,"90  or more, but not 100%",7,85
755.5,"90  or more, but not 100%",9,73
756.1,"90  or more, but not 100%",11,66
758.1,60%.,11,72
757.7,50%.,10,87
757,70 – 80%.,8,94
757.2,100%.,8,91
758.5,"90  or more, but not 100%",9,82
757.2,70 – 80%.,9,76
755.5,"90  or more, but not 100%",10,70
756.4,70 – 80%.,11,62
758.3,60%.,10,73
758.5,40%.,9,88
757.4,60%.,8,93
757.6,70 – 80%.,8,88
759.1,50%.,8,85
758.2,70 – 80%.,8,78
756.2,70 – 80%.,10,64
756.6,60%.,10,50
758.5,70 – 80%.,10,70
758.8,70 – 80%.,10,89
757.4,50%.,8,93
757.6,50%.,8,91
758.8,40%.,8,88
757.6,60%.,8,83
756,100%.,9,74
757.9,100%.,10,75
759.2,100%.,8,82
758.5,100%.,8,95
757.6,100%.,8,94
758.3,100%.,8,92
759.1,100%.,9,85
757.7,100%.,9,81
756.4,100%.,10,76
757,70 – 80%.,11,64
759.1,60%.,10,73
759.1,60%.,9,90
758.4,70 – 80%.,7,94
758.9,"90  or more, but not 100%",7,92
759.9,100%.,6,92
758.2,"90  or more, but not 100%",7,89
756.4,70 – 80%.,11,70
757.6,60%.,12,62
759.3,20–30%.,11,77
759.2,50%.,9,94
758.2,70 – 80%.,8,95
758.8,"90  or more, but not 100%",8,97
760,100%.,8,95
758.8,100%.,6,95
757,100%.,6,94
757.8,"90  or more, but not 100%",11,69
759.7,"90  or more, but not 100%",10,75
759,100%.,9,94
758.3,60%.,8,95
759.2,50%.,8,92
760,60%.,8,94
758.6,70 – 80%.,8,93
757.5,"90  or more, but not 100%",8,93
758.3,100%.,8,84
759.8,100%.,8,81
759.3,100%.,8,95
758.4,100%.,8,96
758.7,100%.,8,93
759.3,100%.,9,88
757.9,"90  or more, but not 100%",9,76
755.8,"90  or more, but not 100%",11,67
756.9,40%.,12,54
758.5,20–30%.,11,70
758.2,40%.,9,89
757.4,"90  or more, but not 100%",7,95
758.5,"90  or more, but not 100%",7,91
759.1,"90  or more, but not 100%",7,91
757.5,"90  or more, but not 100%",7,87
756.4,"90  or more, but not 100%",10,67
756.8,70 – 80%.,10,62
758.5,70 – 80%.,10,71
758.5,70 – 80%.,10,87
757.3,50%.,8,88
757.4,20–30%.,8,90
758.6,70 – 80%.,8,87
757.6,20–30%.,8,81
756.7,100%.,10,75
758.2,100%.,10,74
759.2,"90  or more, but not 100%",10,84
759.1,"90  or more, but not 100%",10,94
757.9,70 – 80%.,7,95
758,100%.,6,95
759.4,100%.,6,94
758.5,100%.,6,94
756.4,"90  or more, but not 100%",10,72
757.6,40%.,12,67
759.7,50%.,12,73
759.8,50%.,10,94
758.5,"90  or more, but not 100%",8,94
759.7,100%.,7,96
760.3,100%.,7,95
758.8,100%.,6,92
757.2,"90  or more, but not 100%",10,66
758.2,70 – 80%.,11,62
759.5,70 – 80%.,10,73
759.4,70 – 80%.,9,89
758.2,70 – 80%.,8,92
759.4,50%.,8,91
760.6,50%.,8,92
759.8,100%.,6,91
757.7,100%.,9,79
757.6,"90  or more, but not 100%",11,56
758.9,70 – 80%.,10,69
758.6,70 – 80%.,9,86
757.8,60%.,8,89
758.1,70 – 80%.,8,89
759.1,100%.,8,89
758,100%.,8,84
756.5,100%.,8,79
757.3,70 – 80%.,12,55
759.1,"90  or more, but not 100%",10,72
758.8,"90  or more, but not 100%",9,91
756.9,60%.,8,94
757,60%.,8,89
758.2,70 – 80%.,8,89
757.4,"90  or more, but not 100%",8,83
756.7,100%.,8,76
756.8,70 – 80%.,10,69
759.1,40%.,10,72
758.8,40%.,10,89
757.7,60%.,8,95
758.6,100%.,8,91
759.7,100%.,8,88
758.5,100%.,9,88
757.5,100%.,10,71
757.9,60%.,10,61
759.6,60%.,10,73
759.9,"90  or more, but not 100%",10,91
758.8,"90  or more, but not 100%",7,94
759,"90  or more, but not 100%",7,93
759.5,"90  or more, but not 100%",7,94
759.4,100%.,4,94
757.3,"90  or more, but not 100%",7,82
758.3,60%.,12,68
760,"90  or more, but not 100%",10,73
759.6,70 – 80%.,9,89
758.8,100%.,8,95
759.1,100%.,5,94
760.2,"90  or more, but not 100%",8,94
758.9,100%.,5,92
757.1,"90  or more, but not 100%",10,75
757.8,"90  or more, but not 100%",10,70
759.6,70 – 80%.,10,72
759,70 – 80%.,10,89
758.2,70 – 80%.,8,92
759.1,"90  or more, but not 100%",8,92
759.9,"90  or more, but not 100%",8,91
758.8,100%.,6,88
757.6,100%.,8,87
758.1,70 – 80%.,10,70
759.9,70 – 80%.,10,73
759.8,"90  or more, but not 100%",8,84
758.7,40%.,8,88
759.2,50%.,8,88
760,"90  or more, but not 100%",9,87
758.7,100%.,9,84
757.3,100%.,10,74
758.2,"90  or more, but not 100%",10,77
759.8,50%.,10,65
759.7,50%.,9,84
758.5,50%.,7,88
759.3,60%.,7,84
760,60%.,8,82
758.4,60%.,9,78
757.1,70 – 80%.,10,74
758.2,100%.,10,66
759.5,50%.,10,68
759.6,60%.,10,85
758.5,20–30%.,8,91
759.4,20–30%.,8,88
760.2,50%.,8,82
759,40%.,8,78
757.7,"90  or more, but not 100%",8,73
758.4,100%.,9,87
760,60%.,11,67
759.7,40%.,9,84
758.9,40%.,8,86
759.1,50%.,8,85
760.4,60%.,8,80
759.1,70 – 80%.,8,80
757.6,"90  or more, but not 100%",10,72
757.9,70 – 80%.,11,61
759.1,40%.,11,63
759.1,20–30%.,9,88
757.6,50%.,8,87
758,70 – 80%.,8,85
759.1,70 – 80%.,9,79
758.2,100%.,9,78
756,100%.,10,70
757.3,"90  or more, but not 100%",10,66
758.5,"90  or more, but not 100%",11,67
758.2,70 – 80%.,10,80
756.4,60%.,8,80
756.2,60%.,8,74
757,60%.,8,81
756.1,60%.,8,83
755.4,"90  or more, but not 100%",10,65
757.2,"90  or more, but not 100%",10,67
758.2,"90  or more, but not 100%",10,68
758.4,"90  or more, but not 100%",9,80
756.4,70 – 80%.,8,85
756.6,100%.,7,81
756.9,100%.,7,89
756.1,70 – 80%.,6,94
754.8,"90  or more, but not 100%",12,71
755.8,60%.,10,58
757.5,"90  or more, but not 100%",10,72
757.3,60%.,10,87
755.9,50%.,7,92
756.1,60%.,7,83
756.7,70 – 80%.,7,84
756.4,"90  or more, but not 100%",7,84
754.3,100%.,7,87
755.3,50%.,12,58
756.8,50%.,12,61
757,40%.,10,82
755.8,50%.,8,85
756.1,60%.,8,82
757,70 – 80%.,9,80
756.4,100%.,9,76
754.3,"90  or more, but not 100%",11,67
755.2,70 – 80%.,11,59
756.6,60%.,10,60
756.7,70 – 80%.,9,83
755.2,70 – 80%.,8,85
756.1,50%.,8,89
757.1,50%.,8,86
756.6,100%.,6,88
754.9,100%.,10,77
754.6,"90  or more, but not 100%",10,69
756.2,70 – 80%.,10,78
755.9,"90  or more, but not 100%",9,86
754.5,70 – 80%.,8,89
755.2,70 – 80%.,8,92
756.2,"90  or more, but not 100%",8,89
755.9,100%.,6,93
754.3,100%.,8,93
754.4,"90  or more, but not 100%",11,64
