Local time in Surabaya,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.10.2023 22:00,30.2,758.2,758.5,1.4,75,Wind blowing from the east,4,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,25.2,,,,,,
31.10.2023 19:00,31.0,756.8,757.2,2.2,70,Wind blowing from the east,3,,,70 – 80%., ,,,,36.7,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.8,,,,,,
31.10.2023 16:00,34.4,754.6,754.9,-1.3,53,Wind blowing from the south-east,2,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,23.6,,,,,,
31.10.2023 13:00,36.4,755.9,756.2,-2.2,46,Wind blowing from the east,3,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,23.1,,,,,,
31.10.2023 10:00,33.6,758.1,758.5,-0.1,60,Wind blowing from the east-southeast,3,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,24.7,,,,,,
31.10.2023 07:00,29.0,758.2,758.5,1.1,75,"Calm, no wind",0,,,40%., ,,,27.7,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.1,,,,,,
31.10.2023 04:00,28.7,757.1,757.4,0.3,79,"Calm, no wind",0,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.8,,,,,,
31.10.2023 01:00,29.2,756.8,757.2,-1.1,76,Wind blowing from the east-southeast,2,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.6,,,,,,
30.10.2023 22:00,30.0,757.9,758.2,1.3,73,Wind blowing from the east-southeast,3,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.6,,,,,,
30.10.2023 19:00,31.3,756.6,756.9,1.7,64,Wind blowing from the east,3,,,60%., ,,,,37.0,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,23.7,,,,,,
30.10.2023 16:00,33.4,754.9,755.3,-0.7,55,Wind blowing from the east,5,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,23.2,,,,,,
30.10.2023 13:00,36.8,755.6,756.0,-2.0,41,Wind blowing from the east,6,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,21.6,,,,,,
30.10.2023 10:00,34.4,757.6,757.9,-0.6,51,Wind blowing from the east,4,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,22.9,,,,,,
30.10.2023 07:00,28.6,758.2,758.5,1.3,76,Wind blowing from the south-southwest,2,,,20–30%., ,,,27.4,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.0,,,,,,
30.10.2023 04:00,27.8,756.9,757.3,-0.1,84,Wind blowing from the east-southeast,3,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.8,,,,,,
30.10.2023 01:00,28.9,757.0,757.4,-0.8,77,Wind blowing from the south-east,4,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.4,,,,,,
29.10.2023 22:00,30.4,757.8,758.2,1.1,72,Wind blowing from the south-east,4,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.9,,,,,,
29.10.2023 19:00,31.6,756.7,757.0,1.8,63,Wind blowing from the east-southeast,3,,,20–30%., ,,,,36.4,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,23.7,,,,,,
29.10.2023 16:00,34.0,754.9,755.3,-1.0,46,Wind blowing from the east,5,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,20.8,,,,,,
29.10.2023 13:00,36.2,755.9,756.2,-2.3,37,Wind blowing from the east-southeast,5,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,19.1,,,,,,
29.10.2023 10:00,32.4,758.2,758.5,-0.6,63,Wind blowing from the north-west,3,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,24.4,,,,,,
29.10.2023 07:00,27.6,758.8,759.2,1.0,77,Wind blowing from the south-west,2,,,"10%  or less, but not 0", ,,,25.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,23.2,,,,,,
29.10.2023 04:00,26.6,757.8,758.0,-0.1,82,Wind blowing from the west-northwest,1,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,23.3,,,,,,
29.10.2023 01:00,28.2,757.9,758.2,-0.7,81,Wind blowing from the south-east,1,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.7,,,,,,
28.10.2023 22:00,29.8,758.6,758.9,1.5,69,Wind blowing from the east-southeast,3,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,23.5,,,,,,
28.10.2023 19:00,31.0,757.1,757.4,1.3,64,Wind blowing from the east-northeast,2,,,40%., ,,,,36.8,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",9.0,23.3,,,,,,
28.10.2023 16:00,34.2,755.8,756.1,-1.4,42,Wind blowing from the north-east,2,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",11.0,19.7,,,,,,
28.10.2023 13:00,36.2,757.2,757.6,-2.2,33,Wind blowing from the south-southeast,4,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,17.6,,,,,,
28.10.2023 10:00,32.8,759.4,759.7,0.0,58,Wind blowing from the north-northwest,2,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,23.5,,,,,,
28.10.2023 07:00,27.6,759.4,759.7,1.7,73,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,25.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,22.3,,,,,,
