Local time in Surabaya,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
28.04.2024 13:00,34.4,755.9,756.3,-1.3,58,Wind blowing from the east,4,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.1,,,,,,
28.04.2024 10:00,32.4,757.2,757.5,0.2,67,Wind blowing from the east,3,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.5,,,,,,
28.04.2024 07:00,29.2,757,757.3,0.9,82,Wind blowing from the south-east,1,,,40%., ,,,28.2,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.9,,,,,,
28.04.2024 04:00,29,756.1,756.5,-0.7,85,"Calm, no wind",0,,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,26.3,,,,,,
28.04.2024 01:00,29.6,756.8,757.1,-0.6,82,Wind blowing from the east-southeast,2,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.1,,,,,,
27.04.2024 22:00,29.6,757.4,757.7,1.3,85,Wind blowing from the east-northeast,1,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.8,,,,,,
27.04.2024 19:00,30.6,756.1,756.4,1.6,78,Wind blowing from the east,2,,,50%., ,,,,34.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.4,,,,,,
27.04.2024 16:00,32.6,754.5,754.8,-0.4,63,Wind blowing from the east,5,,,60%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,24.8,,,,,,
27.04.2024 13:00,34,754.9,755.3,-1.7,60,Wind blowing from the east,7,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12,25.3,,,,,,
27.04.2024 10:00,32.2,756.6,757,0.3,67,Wind blowing from the east,6,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12,25.2,,,,,,
27.04.2024 07:00,29.2,756.3,756.7,1.1,79,Wind blowing from the south-east,4,,,60%., ,,,26.6,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.2,7,24,,,,
27.04.2024 04:00,27.8,755.2,755.5,-1.5,89,Wind blowing from the east-southeast,1,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,25.9,,,,,,
27.04.2024 01:00,28.4,756.7,757,-0.3,88,"Calm, no wind",0,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.3,,,,,,
26.04.2024 22:00,29.2,757,757.3,1.6,83,Wind blowing from the east,2,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26,,,,,,
26.04.2024 19:00,29.5,755.4,755.7,1.1,85,"Calm, no wind",0,,,60%., ,,,,32.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.7,,,,,,
26.04.2024 16:00,31.2,754.3,754.6,-0.6,73,Wind blowing from the east,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.9,,,,,,
26.04.2024 13:00,30.6,754.9,755.2,-1.7,74,Wind blowing from the east,2,,,60%.,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.5,7,6,,,,
26.04.2024 10:00,30.6,756.6,756.9,0.2,74,Wind blowing from the east,2,,,60%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.5,7,3,,,,
26.04.2024 07:00,26.8,756.4,756.7,1.1,93,"Calm, no wind",0,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.5,101,24,,,,
26.04.2024 04:00,26.4,755.3,755.6,-1,93,"Calm, no wind",0,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,25.2,,,,,,
26.04.2024 01:00,26.4,756.3,756.5,-0.5,92,"Calm, no wind",0,,,50%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",8,25,,,,,,
25.04.2024 22:00,26.6,756.8,757.1,1,94,Wind blowing from the south,1,,,70 – 80%., ,,,,,Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",8,25.5,,,,,,
25.04.2024 19:00,26.6,755.8,756.1,0.5,93,Wind blowing from the east,1,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,27.6,Stratocumulus cumulogenitus.,20–30%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",8,25.3,3,6,,,,
25.04.2024 16:00,27,755.3,755.6,-0.7,94,"Calm, no wind",0,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",40%.,300-600,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,25.9,3,3,,,,
25.04.2024 13:00,27,756,756.3,-1.3,94,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,300-600,Altostratus opacus or Nimbostratus.,,8,25.9,7,6,,,,
25.04.2024 10:00,27,757.3,757.6,0.9,89,Wind blowing from the south-east,3,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,300-600,Altostratus opacus or Nimbostratus.,,7,25.1,1,3,,,,
25.04.2024 07:00,27,756.4,756.7,1.1,94,Wind blowing from the south,2,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,26.6,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,8,25.9,0.4,24,,,,
25.04.2024 04:00,27.5,755.3,755.7,-0.7,90,"Calm, no wind",0,,,60%.,State of sky on the whole unchanged. ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,25.8,,,,,,
25.04.2024 01:00,28.2,756,756.3,-0.6,87,Wind blowing from the east-northeast,2,,,100%.,"Thunderstorm, but no precipitation at the time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,Altocumulus translucidus at a single level.,Cirrostratus covering the whole sky.,8,25.9,,,,,,
24.04.2024 22:00,28.5,756.6,756.9,0.8,87,Wind blowing from the east,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.",8,26.2,,,,,,
24.04.2024 19:00,29.2,755.8,756.1,1.2,87,Wind blowing from the east-northeast,2,,,70 – 80%., ,,,,30.2,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,26.8,,,,,,
24.04.2024 16:00,29.2,754.6,755,-0.9,83,Wind blowing from the east-southeast,3,,,"90  or more, but not 100%", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,26,,,,,,
24.04.2024 13:00,29.7,755.5,755.8,-1.8,78,Wind blowing from the east,3,,,"90  or more, but not 100%", ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",40%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.4,,,,,,
24.04.2024 10:00,29.4,757.3,757.6,0.9,83,Wind blowing from the south-east,2,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,26.2,,,,,,
24.04.2024 07:00,26.8,756.4,756.7,1.3,94,"Calm, no wind",0,,,100%., ,,,26.2,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",10,25.7,12,24,,,,
24.04.2024 04:00,26.6,755.1,755.4,-0.5,95,"Calm, no wind",0,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7,25.8,,,,,,
24.04.2024 01:00,26.9,755.6,756,-1.5,94,"Calm, no wind",0,,,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7,25.8,7,6,,,,
23.04.2024 22:00,26.8,757.1,757.4,1.2,94,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altostratus opacus or Nimbostratus.,,6,25.7,6,3,,,,
23.04.2024 19:00,29.4,755.9,756.3,1.9,85,"Calm, no wind",0,,,70 – 80%., ,,,,32,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.6,,,,,,
23.04.2024 16:00,30.4,754,754.3,-0.9,82,Wind blowing from the east-southeast,2,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,27,,,,,,
23.04.2024 13:00,31.2,754.9,755.2,-2,71,Wind blowing from the south-east,2,,,70 – 80%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10,25.3,5,6,,,,
23.04.2024 10:00,28.9,756.9,757.2,1,84,Wind blowing from the south-southeast,3,,,"90  or more, but not 100%","Rain, not freezing, intermittent, moderate at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,26,5,3,,,,
23.04.2024 07:00,27.7,755.9,756.2,0.7,91,"Calm, no wind",0,,,20–30%., ,,,26.6,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,26.1,,,,,,
